id,title,category,price,size,fitsLike,condition,status,notes,images,createdAt,featured
ptg-0001,Dallas Cowboys Full-Zip Hoodie Jacket,Outerwear,20,L,L/XL,Very Good,available,Navy Cowboys full-zip hoodie with white piping. Clean overall with light natural wear.,"assets/items/ptg-0001-1.jpeg|assets/items/ptg-0001-2.jpeg|assets/items/ptg-0001-3.jpeg",2026-02-17,false
ptg-0002,Dallas Cowboys Button-Up Shirt,Tops,13,M,M,Very Good,available,Blue Cowboys button-up with front and back graphic. Classic early 2000s feel.,"assets/items/ptg-0002-1.jpg|assets/items/ptg-0002-2.jpg|assets/items/ptg-0002-3.jpg",2026-02-17,false
ptg-0003,"Daffy ""Delicious"" Jersey",Tops,20,L,L,Very Good,available,"Lightweight graphic jersey. Fits like a L. Clean front + back graphic.",assets/items/ptg-0003-1.jpg|assets/items/ptg-0003-2.jpg,2026-02-19,false
ptg-0004,Dallas Cowboys Graphic Tee,Tops,7,XL,XL/2XL,Good,available,"Navy Dallas Cowboys tee with front logo print. Fits XL/2XL.",assets/items/ptg-0004-1.jpg|assets/items/ptg-0004-2.jpg|assets/items/ptg-0004-3.jpg,2026-02-19,false
ptg-0005,Baggy Japanese Denim(Indidgo Blue),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy Japanese denim in deep indigo blue. Wide-leg, relaxed fit with a clean 5-pocket look.","assets/items/ptg-0005-1.jpg",2026-02-19,false
ptg-0006,Baggy Camo Pants,Bottoms,60,S/M/L/XL,N/A,New,available,"Wide-Legged Baggy camo pants in muted grey and sand tones. Relaxed wide-leg fit with a structured silhouette.",assets/items/ptg-0006-1.jpg,2026-02-19,false
ptg-0007,Baggy Washed Denim(Light Greyish-Blue),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy washed grey denim with subtle fade detailing. Wide-leg relaxed fit with a clean structured drape.",assets/items/ptg-0007-1.jpg,2026-02-19,false
ptg-0008,Baggy Washed Denim (Light Wash),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy light-wash denim with bright fade panels on the thighs. Wide-leg relaxed fit.",assets/items/ptg-0008-1.jpg,2026-02-19,false
ptg-0009,Baggy Washed Denim (Vintage Blue),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy vintage blue denim with classic mid-thigh fading. Wide-leg relaxed fit.",assets/items/ptg-0009-1.jpg,2026-02-19,false
ptg-0010,Baggy Washed Denim (Charcoal Fade),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy charcoal washed denim with subtle faded thigh panels. Wide-leg relaxed fit.",assets/items/ptg-0010-1.jpg,2026-02-19,false
ptg-0011,Baggy Washed Denim (Black Fade),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy black washed denim with heavy faded thigh panels. Wide-leg relaxed fit.",assets/items/ptg-0011-1.jpg,2026-02-19,false
ptg-0012,Baggy Denim (Solid Black),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy solid black denim with a clean smooth finish. Wide-leg relaxed fit.",assets/items/ptg-0012-1.jpg,2026-02-19,false
ptg-0013,Baggy Denim (Dark Camo),Bottoms,60,S/M/L/XL,N/A,New,available,"Baggy dark camo denim with a wide-leg relaxed fit and clean structured silhouette.",assets/items/ptg-0013-1.jpg,2026-02-19,false
ptg-0014,2000s Dallas Cowboys Tony Romo #9 Jersey,Tops,25,L,XL,Very Good,available,"Navy Dallas Cowboys Tony Romo #9 mesh jersey with classic sleeve striping and embroidered details. Vintage early-2000s NFL era fit.","assets/items/ptg-0014-1.jpg|assets/items/ptg-0014-2.jpg|assets/items/ptg-0014-3.jpg",2026-02-19,false
ptg-0015,Beige Cargo Shorts,Bottoms,20,32,32,Very Good,available,"Light beige cargo shorts with dual side utility pockets and relaxed fit. Clean neutral tone with minimal wear.","assets/items/ptg-0015-1.jpg",2026-02-19,false
ptg-0016,Black Raw Hem Denim Shorts,Bottoms,50,32,32,Very Good,available,"Black denim shorts with raw frayed hem and classic 5-pocket construction. Clean dark wash with minimal wear.","assets/items/ptg-0016-1.jpg",2026-02-19,true
ptg-0017,Tan Cargo Pants,Bottoms,15,32,32/34,Very Good,available,"Tan cargo pants with utility side pockets and adjustable elastic waistband detail. Relaxed straight fit with minimal wear.","assets/items/ptg-0017-1.jpg",2026-02-19,false
ptg-0018,FC Bayern Red Polo Jersey,Tops,25,M,M,Very Good,available,"Red FC Bayern Munich polo-style soccer jersey with embroidered crest and white sponsor graphic. Lightweight athletic fit with minimal wear.","assets/items/ptg-0018-1.jpg",2026-02-19,false
ptg-0019,Tommy Hilfiger Colorblock Polo,Tops,30,XL,XL/2XL,Good,available,"Red Tommy Hilfiger polo with contrasting white and navy sleeves and embroidered front logo. Relaxed fit with light natural wear.","assets/items/ptg-0019-1.jpg",2026-02-19,false
ptg-0020,Navy Striped Polo Shirt,Tops,20,XXL,XL,Good,sold,"Navy polo with horizontal white stripe detailing and small chest crest. Relaxed athletic fit with light wear.","assets/items/ptg-0020-1.jpg",2026-02-19,false
ptg-0021,FC Barcelona Jersey 2-Pack,Tops,40,L,L,Good,available,"Two FC Barcelona jerseys bundle â€” classic Rakuten vertical stripe + Qatar Airways horizontal stripe era. Size L. Sold together as a set.","assets/items/ptg-0021-1.jpg",2026-02-19,false
ptg-0022,Custom Flared Wide-Leg Distressed Jeans,Bottoms,50,34,34,Good,available,"Custom-made light wash denim with distressed knee detailing and extended flared wide-leg opening. Statement silhouette with raw hem finish.","assets/items/ptg-0022-1.JPG",2026-02-19,false
ptg-0023,Custom Extremely Baggy Camo Flare Pants,Bottoms,50,38,38,Fair,available,"Custom-made woodland camo pants with exaggerated baggy fit and flared leg opening. Statement wide-leg silhouette with visible wear consistent with condition.","assets/items/ptg-0023-1.JPG",2026-02-19,false
ptg-0024,Japanese Baggy Wide-Leg Denim,Bottoms,60,L,L,Good,available,"Japanese denim in charcoal wash with subtle thigh fading and distressed knee detail. Baggy fit with wide-leg opening and structured drape.","assets/items/ptg-0024-1.JPG",2026-02-19,false
ptg-0025,Baggy Utility Wide-Leg Pants,Bottoms,50,33,33,Good,sold,"Olive-toned wide-leg pants with utility pocket detailing and structured flare silhouette. Relaxed baggy fit with light wear consistent with condition.","assets/items/ptg-0025-1.JPG",2026-02-19,false
